"title","author","rank_score","rating","n_reviews","n_pages","year","first_published","publisher","characters","language","series","setting","description"
"Laskar Pelangi","Andrea Hirata",46701,4.18,2932,534,2008,2005,"Bentang Pustaka","A Ling, Lintang, Ikal, Muslimah Hafsari, Harfan Effendy Noor...more, Floriana, Mahar...less","Indonesian","Tetralogi Laskar Pelangi #1","Belitung(Indonesia)","Begitu banyak hal menakjubkan yang terjadi dalam masa kecil para anggota Laskar Pelangi. Sebelas orang anak Melayu Belitong yang luar biasa ini tak menyerah walau keadaan tak bersimpati pada mereka. Tengoklah Lintang, seorang kuli kopra cilik yang genius dan dengan senang hati bersepeda 80 kilometer pulang pergi untuk memuaskan dahaganya akan ilmu—bahkan terkadang hanya un"
"Bumi Manusia","Pramoedya Ananta Toer",41785,4.39,1527,535,2005,NA,"Lentera Dipantara","Minke, Nyai Ontosoroh, Annelies","Indonesian","Tetralogi Buru #1","Indonesia,1898","Roman Tetralogi Buru mengambil latar belakang dan cikal bakal nation Indonesia di awal abad ke-20. Dengan membacanya waktu kita dibalikkan sedemikian rupa dan hidup di era membibitnya pergerakan nasional mula-mula, juga pertautan rasa, kegamangan jiwa, percintaan, dan pertarungan kekuatan anonim para srikandi yang mengawal penyemaian bangunan nasional yang kemudian kelak m"
"5 cm","Donny Dhirgantoro",27491,3.85,1454,381,2005,NA,"Grasindo",NA,"Indonesian",NA,NA,"Bestseller book di Gramedia Bookstore selama 2 tahun berturut-turut!Lima sahabat telah menjalin persahabatan selama tujuh tahun. Mereka adalah Arial yang paling tampan, Riani sebagai satu-satunya wanita dalam kelompok itu, Zafran yang berlagak seperti seorang penyair, Ian yang paling subur badannya, dan Genta yang dianggap sebagai leader dalam kelompok itu. Kegemaran merek"
"Ronggeng Dukuh Paruk","Ahmad Tohari",21431,4.16,476,397,2003,NA,"Gramedia Pustaka Utama","Srintil, Rasus","Indonesian","Dukuh Paruk #1-3","Indonesia","Gabungan 3 buku seri Dukuh Paruk: Ronggeng Dukuh Paruk, Lintang Kemukus Dini Hari & Jantera Bianglala.Semangat Dukuh Paruk kembali menggeliat sejak Srintil dinobatkan menjadi ronggeng baru, menggantikan ronggeng terakhir yang mati dua belas tahun yang lalu. Bagi pedukuhan yang kecil, miskin, terpencil dan bersahaja itu, ronggeng adalah perlambang. Tanpanya dukuh itu me"
"Negeri 5 Menara","Ahmad Fuadi",20172,4.08,1126,432,2009,NA,"Gramedia Pustaka Utama","Alif, Raja, Atang, Said, Dulmajid, Baso, Randai, Sarah, Amak, Kiai Rais, Ustad Salman, Tyson","Indonesian","Negeri 5 Menara #1",NA,"Alif lahir di pinggir Danau Maninjau dan tidak pernah menginjak tanah di luar ranah Minangkabau. Masa kecilnya adalah berburu durian runtuh di rimba Bukit Barisan, bermain bola di sawah berlumpur dan tentu mandi berkecipak di air biru Danau Maninjau.Tiba-tiba saja dia harus naik bus tiga hari tiga malam melintasi punggung Sumatera dan Jawa menuju sebuah desa di pelosok Jaw"
"Sang Pemimpi","Andrea Hirata",19963,4.11,1167,292,2006,NA,"Bentang Pustaka",NA,"Indonesian","Tetralogi Laskar Pelangi #2",NA,"Sang Pemimpi adalah sebuah lantunan kisah kehidupan yang memesona dan akan membuat Anda percaya akan tenaga cinta, percaya pada kekuatan mimpi dan pengorbanan, lebih dari itu, akan membuat Anda percaya kepada Tuhan. Andrea akan membawa Anda berkelana menerobos sudut-sudut pemikiran di mana Anda akan menemukan pandangan yang berbeda tentang nasib, tantangan intelektualitas,"
"Perahu Kertas","Dee Lestari",16293,3.94,1604,456,2009,2004,"Bentang Pustaka & Truedee","Keenan, Kugy","Indonesian",NA,NA,"Namanya Kugy. Mungil, pengkhayal, dan berantakan. Dari benaknya, mengalir untaian dongeng indah. Keenan belum pernah bertemu manusia seaneh itu....Namanya Keenan. Cerdas, artistik, dan penuh kejutan. Dari tangannya, mewujud lukisan-lukisan magis. Kugy belum pernah bertemu manusia seajaib itu....Dan kini mereka berhadapan di antara hamparan misteri dan rintangan. Akanka"
"Edensor","Andrea Hirata",14550,4.08,964,288,2007,NA,"Bentang Pustaka",NA,"Indonesian","Tetralogi Laskar Pelangi #3",NA,"Aku ingin mendaki puncak tantangan, menerjang batu granit kesulitan, menggoda mara bahaya, dan memecahkan misteri dengan sains. Aku ingin menghirup berupa-rupa pengalaman lalu terjun bebas menyelami labirin lika-liku hidup yang ujungnya tak dapat disangka. Aku mendamba kehidupan dengan kemungkinan-kemungkinan yang bereaksi satu sama lain seperti benturan molekul uranium: m"
"Robohnya Surau Kami","A.A. Navis",14419,3.97,239,147,2007,1956,"Gramedia Pustaka Utama",NA,"Indonesian",NA,NA,"Dalam cerpen ""Robohnya Surau Kami"", berdialoglah Tuhan dengan Haji Saleh, seorang warga negara Indonesia yang selama hidupnya hanya beribadah dan beribadah…""kenapa engkau biarkan dirimu melarat, hingga anak cucumu teraniaya semua. Sedang harta bendamu kau biarkan orang lain yang mengambilnya untuk anak cucu mereka. Dan engkau lebih suka berkelahi antara kamu sendiri, salin"
"Aku Ini Binatang Jalang","Chairil Anwar",14376,4.11,186,111,2002,1986,"PT. Gramedia Pustaka Utama",NA,"Indonesian",NA,NA,"Koleksi Sajak 1942-1949Selama ini kita tidak bisa menemukan sajak-sajak Chairil Anwar dalam satu buku. sebagian kita temukan dalam Deru Campur Debu dan Kerikil Tajam dan Yang Terampas dan Yang Putus, sedangkan sebagian lagi kita jumpai dalam Tiga Menguak Takdir dan Chairil Anwar Pelopor Angkatan 45. Akan tetapi, sajak-sajak yang terdapat dalam pelbagai buku itu sekarang di"
