"title","genre","year","release_date","colour","duration","classification","rating","producer","director","writer","actress","synopsis"
"Loetoeng Kasaroeng","Legend",1926,NA,"BW",NA,NA,NA,"L Heuveldorp","L Heuveldorp",NA,"Martoana, Oemar","Walau dibikin oleh orang asing, tapi ini film cerita pertama di Indonesia yang menampilkan cerita asli Indonesia, sebuah legenda yang terkenal dari Jawa Barat. Antara lain berisi nasehat, janganlah memandang sesuatu dari kulitnya saja. Purbasari diejek karena punya pacar seekor lutung (Guru Minda), sedangkan kakaknya Purbararang membanggakan kekasihnya, Indrajaya yang manusia. Ternyata lutung itu sebetulnya adalah seorang pangeran tampan, titisan dewi Sunan Ambu. Guru Minda jauh lebih tampan dari Indrajaya."
"Eulis Atjih","Drama",1927,NA,"BW",NA,NA,NA,NA,"G Krugers","Joehana","Arsad, Soekria","Seorang suami meninggalkan isteri dan anak untuk berfoya-foya. Si isteri, Eulis Atjih dan anaknya hidup melarat. Di kemudian hari ia tetap menerima kembalinya (bekas) suami yang telah jatuh miskin."
"Lily van Java","Drama",1928,NA,"BW",NA,NA,NA,"Liem Goan Lian, Tjan Tjoen Lian","Nelson Wong",NA,"Lie Lian Hoa, Lie Bouw Tan, Kwee Tiang An, Yah Kwee Pang","Kisah seorang gadis anak hartawan yang oleh ayahnya dipaksa menikah dengan seorang pemuda, sedangkan gadis itu telah punya hubungan asmara dengan pemuda lain."
"Resia Boroboedoer","Adventure",1928,NA,"BW",NA,NA,NA,NA,NA,NA,"Olive Young","Young Pei Fen (Olive Young) berangkat dari Cina ke Borobudur, karena membaca warisan ayahnya, Young Lun Fah, sebuah buku rahasia (resia) candi terkenal Borobudur, yang terletak di dekat Muntilan, Jawa Tengah. Maksudnya: mengambil satu guci yang berisi abu Sang Budha Gautama. Di tempat itu ia dihalangi oleh Gandha Soewastie. Gandha dipukul hingga jatuh. Sahabatnya, Kusumo, tidak senang dan ingin membinasakan Pei Fen dengan guna-guna. Gandha menggagalkan maksud itu. Sebelum berhasil, ia jatuh pingsan oleh asap beracun. Gandha kembali menolongnya, karena ia pernah berhutang nyawa pada ayah Pei Fen. Akhirnya Pei Fen insyaf dan memutuskan jadi pendeta untuk menjaga candi itu."
"Setangan Berloemoer Darah",NA,1928,NA,"BW",NA,NA,NA,"Tan Boen Soan",NA,NA,NA,NA
"Het Groote Mekka-Feest",NA,1928,NA,NA,72,NA,NA,NA,NA,NA,NA,"Film perjalanan mengenai ibadah haji mulai dari sebuah kampung di Palembang sampai ke kota-kota di Saudi Arabia."
"Njai Dasima (I)","Drama",1929,NA,"BW",NA,NA,NA,"Tan Koen Yauw","Lie Tek Swie",NA,"N Noerhani, Anah, Wim Lender, Momo",NA
"Rampok Preanger",NA,1929,NA,"BW",NA,NA,NA,"Nelson Wong","Nelson Wong","Wong Bersaudara","Ining Resmini, MS Ferry",NA
"Si Tjonat","Action",1929,NA,"BW",NA,NA,NA,"Nelson Wong, Jo Eng Sek","Nelson Wong","FDJ Pangemanan","Lie A Tjip, Ku Fung May, Herman Sim","Nakal sejak kecil, si Tjonat (Lie A Tjip) melarikan diri ke Batavia (Jakarta) setelah membunuh temannya. Di kota ini ia menjadi jongos seorang Belanda, tapi kerjanya menggerogoti harta nyai tuan itu. Kemudian ia jadi perampok dan jatuh cinta pada Lie Gouw Nio (Ku Fung May). Karena menolak, Tjonat berusaha membawa lari Gouw Nio. Usaha jahat itu dicegah oleh Thio Sing Sang (Herman Sim) yang gagah perkasa."
"De Stem de Bloed (Njai Siti)","Drama",1930,NA,"BW",NA,NA,NA,"Kinowerk Carli, Ph Carli","Ph Carli",NA,"Annie Krohn, Sylvain, Elviera","Setelah 15 tahun di Eropa, van Kempen (Sylvain) kembali ke Jawa. Ia tak berhasil menemukan Nyai (istri piaraan) Siti serta kedua anaknya, Adolf dan Annie. Sekali waktu Ervine, anak tiri van Kempen yang dibawanya dari Eropa, nyaris celaka. Ia ditolong oleh Adolf. Kasih antara Adolf dan Ervine yang terjalin sesudahnya, membawa van Kempen kepada yang dicarinya selama ini: ""istrinya"" Siti serta kedua anaknya."
"Karnadi Anemer Bangkong",NA,1930,NA,"BW",NA,NA,10,"G Krugers","G Krugers",NA,NA,NA
"Lari Ka Arab",NA,1930,NA,"BW",NA,NA,NA,"Wong Bersaudara","Wong Bersaudara","Wong Bersaudara, Joshua Wong","Ining Resmini, RU Partasuwanda",NA
"Melati Van Agam (I dan II)","Drama",1930,NA,"BW",NA,NA,10,"Tan Koen Yauw","Lie Tek Swie","Parada Harahap","A Rachman, Neng Titi, Oemar, Bachtiar Effendy","Cerita ala Romeo dan Juliet ini berlangsung di Sumatera Barat. Kecantikan Norma menyebabkannya digelari Melati van Agam. Ia jatuh cinta pada Idrus, demikian pula sebaliknya. Tanpa sepengetahuan kedua kekasih itu, orang tua Norma telah menerima lamaran Nazarudin yang hartawan. Sesudah berumah tangga, Norma dibawa ke Kota Raja (Banda Aceh). Beberapa waktu kemudian Idrus sakit dan meninggal di Fort de Kock (Bukittinggi). Kecurigaan Nazarudin tak pernah berakhir. Anak yang dilahirkan Norma dianggap anak Idrus. Tuduhan ini membuat Norma merasa amat malu, lalu bunuh diri dan dikuburkan di sebelah makam Idrus."
"Nancy Bikin Pembalesan (Njai Dasima III)","Drama",1930,NA,"BW",NA,NA,NA,"Tan Koen Yauw","Lie Tek Swie",NA,NA,"Edward William kembali ke Hindia Belanda dari Eropa, untuk mengelola sebuah perkebunan di Banten. Ia disertai anaknya dari Dasima, Nancy. Setiba di Batavia, ia mendapat kabar bahwa Samiun (pembunuh Dasima) telah pulang dari hukuman buangnya. Nancy bermimpi jumpa Dasima, yang minta agar dia membuat pembalasan pada Samiun dan istrinya, Hayati. Samiun jatuh ke jurang, dan Hayati tertusuk pisaunya sendiri."
"Njai Dasima (II)","Drama",1930,NA,"BW",NA,NA,8,"Tan Koen Yauw","Lie Tek Swie",NA,"N Noerhani, Wim Lender, Anah, Momo","Kian lama kian dalam rasa sesal Dasima (N. Noerhani), karena meninggalkan tuannya (Wim Lender) dan anaknya Nancy (Anah) yang berusia 8 tahun. Harta yang dibawanya dari ""rumah gedungnya"" dikuras terutama oleh Hayati yang gila judi. Dasima berniat mengadukan nasibnya pada bekas tuannya. Samiun panik. Ia minta bantuan Bang Puasa (Momo) untuk membunuh Dasima. Karena ada saksi mata, tertangkaplah Bang Puasa dan Samiun. Pembunuh masuk penjara, Samiun dihukum buang."
"Si Ronda",NA,1930,NA,"BW",NA,NA,NA,"Tan Koen Yauw","Lie Tek Swie",NA,"Bachtiar Effendy, Momo","Kisah jagoan Betawi yang tidak jauh berbeda dengan kisah Si Jampang dan Si Pitung. Lihat juga Si Ronda Macan Betawi (1978)."
