"year","manufacturer","type","gearshift","fuel","distance","city","price"
2013,"DAIHATSU","XENIA","MANUAL","BENSIN",97000,"JAKARTA TIMUR",9.8e+10
2015,"DAIHATSU","XENIA","MANUAL","BENSIN",110000,"JAKARTA TIMUR",1.125e+11
2016,"TOYOTA","CALYA","MANUAL","BENSIN",17000,"JAKARTA TIMUR",9.75e+10
2015,"DAIHATSU","AYLA","MANUAL","BENSIN",20000,"JAKARTA TIMUR",7e+10
2018,"SUZUKI","ERTIGA","MANUAL","BENSIN",17000,"JAKARTA TIMUR",1.475e+11
2016,"DAIHATSU","XENIA","MANUAL","BENSIN",55000,"JAKARTA TIMUR",1.2e+11
2013,"DAIHATSU","TERIOS","MANUAL","BENSIN",150000,"JAKARTA TIMUR",1.25e+11
2016,"TOYOTA","AVANZA","MANUAL","BENSIN",55000,"JAKARTA TIMUR",1.45e+11
2013,"TOYOTA","KIJANG INNOVA","OTOMATIS","SOLAR",170000,"JAKARTA TIMUR",1.9e+11
2016,"TOYOTA","AVANZA","OTOMATIS","BENSIN",40000,"JAKARTA TIMUR",1.25e+11
2012,"DAIHATSU","XENIA","MANUAL","BENSIN",105000,"JAKARTA TIMUR",1.025e+11
2015,"DAIHATSU","XENIA","MANUAL","BENSIN",1e+05,"JAKARTA TIMUR",1.125e+11
2017,"TOYOTA","CALYA","OTOMATIS","BENSIN",20000,"MALANG",1.18e+11
2014,"TOYOTA","AVANZA","MANUAL","BENSIN",69000,"MALANG",1.28e+11
2014,"DAIHATSU","AYLA","MANUAL","BENSIN",78000,"MALANG",8.2e+10
2012,"DAIHATSU","XENIA","MANUAL","BENSIN",105000,"JAKARTA TIMUR",1.025e+11
2017,"HONDA","BRIO","MANUAL","BENSIN",37000,"JAKARTA TIMUR",1.075e+11
2008,"TOYOTA","YARIS","OTOMATIS","BENSIN",80000,"JAKARTA TIMUR",9e+10
2017,"HONDA","BRIO","MANUAL","BENSIN",37000,"JAKARTA TIMUR",1.075e+11
2008,"TOYOTA","YARIS","OTOMATIS","BENSIN",80000,"JAKARTA TIMUR",9e+10
2012,"NISSAN","GRAND","OTOMATIS","BENSIN",80000,"JAKARTA TIMUR",9.75e+10
2014,"NISSAN","GRAND","MANUAL","BENSIN",17000,"MALANG",1.28e+11
2012,"TOYOTA","YARIS","OTOMATIS","BENSIN",87000,"MALANG",1.27e+11
2009,"HONDA","JAZZ","OTOMATIS","BENSIN",1e+05,"MALANG",1.35e+11
2013,"DAIHATSU","XENIA","MANUAL","BENSIN",89000,"MALANG",1.17e+11
2011,"HONDA","JAZZ","OTOMATIS","BENSIN",1e+05,"MALANG",1.45e+11
2009,"TOYOTA","KIJANG INNOVA","OTOMATIS","SOLAR",1e+05,"MALANG",1.6e+11
2016,"TOYOTA","AVANZA","MANUAL","BENSIN",47000,"MALANG",1.43e+11
2014,"HONDA","BRIO","OTOMATIS","BENSIN",70000,"MALANG",1.13e+11
2016,"DAIHATSU","XENIA","MANUAL","BENSIN",45000,"JAKARTA TIMUR",1.325e+11
2011,"NISSAN","GRAND","MANUAL","BENSIN",120000,"JAKARTA TIMUR",8.25e+10
2016,"TOYOTA","AVANZA","MANUAL","BENSIN",59000,"JAKARTA TIMUR",1.45e+11
2017,"TOYOTA","AVANZA","MANUAL","BENSIN",17000,"JAKARTA TIMUR",1.75e+11
2014,"TOYOTA","AVANZA","OTOMATIS","BENSIN",74000,"JAKARTA TIMUR",1.3e+11
2013,"TOYOTA","AVANZA","MANUAL","BENSIN",190000,"JAKARTA TIMUR",1.05e+11
2018,"DAIHATSU","XENIA","MANUAL","BENSIN",13000,"TANGERANG",1.34e+11
2016,"TOYOTA","AVANZA","MANUAL","BENSIN",68000,"TANGERANG",1.36e+11
2014,"TOYOTA","FORTUNER","OTOMATIS","SOLAR",75000,"JAKARTA TIMUR",3e+11
2018,"2018","TOYOTA","OTOMATIS","BENSIN",11100,"TANGERANG",1.11e+11
2015,"SUZUKI","ERTIGA","OTOMATIS","BENSIN",80000,"JAKARTA TIMUR",1.3e+11
2017,"TOYOTA","CALYA","OTOMATIS","BENSIN",19122,"TANGERANG",1.08e+11
2017,"TOYOTA","CALYA","OTOMATIS","BENSIN",24000,"JAKARTA TIMUR",1.125e+11
2016,"DAIHATSU","XENIA","MANUAL","BENSIN",54123,"TANGERANG",1.19e+11
2015,"TOYOTA","AVANZA","MANUAL","BENSIN",67750,"TANGERANG",1.33e+11
2012,"MITSUBISHI","OUTLANDER","OTOMATIS","BENSIN",44000,"JAKARTA TIMUR",1.65e+11
2016,"SUZUKI","ERTIGA","MANUAL","BENSIN",44000,"JAKARTA TIMUR",1.3e+11
2017,"HONDA","MOBILIO","OTOMATIS","BENSIN",42356,"TANGERANG",1.53e+11
2018,"TOYOTA","CALYA","MANUAL","BENSIN",30000,"JAKARTA TIMUR",1.05e+11
2015,"SUZUKI","ERTIGA","OTOMATIS","BENSIN",75000,"JAKARTA TIMUR",1.25e+11
2012,"MITSUBISHI","PAJERO","OTOMATIS","SOLAR",78125,"TANGERANG",2.29e+11
2014,"TOYOTA","AVANZA","MANUAL","BENSIN",84000,"JAKARTA TIMUR",1.175e+11
2012,"MITSUBISHI","PAJERO","OTOMATIS","SOLAR",77000,"JAKARTA BARAT",2.29e+11
2015,"HONDA","MOBILIO","OTOMATIS","BENSIN",62000,"JAKARTA TIMUR",1.375e+11
2012,"TOYOTA","YARIS","OTOMATIS","BENSIN",63000,"JAKARTA TIMUR",1.225e+11
2016,"TOYOTA","AGYA","MANUAL","BENSIN",45000,"JAKARTA TIMUR",8.75e+10
2014,"TOYOTA","AVANZA","OTOMATIS","BENSIN",89000,"JAKARTA TIMUR",1.175e+11
2015,"TOYOTA","KIJANG INNOVA","OTOMATIS","BENSIN",50000,"JAKARTA TIMUR",1.95e+11
2017,"DAIHATSU","XENIA","MANUAL","BENSIN",48000,"JAKARTA TIMUR",1.275e+11
2018,"DAIHATSU","XENIA","MANUAL","BENSIN",13000,"JAKARTA BARAT",1.34e+11
2017,"HONDA","MOBILIO","OTOMATIS","BENSIN",40000,"JAKARTA BARAT",1.53e+11
2015,"HONDA","MOBILIO","OTOMATIS","BENSIN",59000,"JAKARTA TIMUR",1.325e+11
2015,"TOYOTA","AVANZA","MANUAL","BENSIN",67770,"JAKARTA BARAT",1.331e+11
2014,"TOYOTA","KIJANG INNOVA","OTOMATIS","BENSIN",80000,"JAKARTA TIMUR",1.675e+11
2018,"DAIHATSU","AYLA","MANUAL","BENSIN",3400,"JAKARTA TIMUR",8e+10
2016,"DAIHATSU","TERIOS","OTOMATIS","BENSIN",67000,"JAKARTA TIMUR",1.4e+11
2015,"DAIHATSU","XENIA","MANUAL","BENSIN",80000,"TANGERANG",1.05e+11
2013,"SUZUKI","ERTIGA","MANUAL","BENSIN",95000,"JAKARTA TIMUR",1.1e+11
2013,"HONDA","BRIO","OTOMATIS","BENSIN",88000,"TANGERANG",9.9e+10
2016,"SUZUKI","ERTIGA","OTOMATIS","BENSIN",69000,"JAKARTA TIMUR",1.35e+11
2017,"TOYOTA","CALYA","OTOMATIS","BENSIN",35000,"JAKARTA TIMUR",1.1e+11
2017,"TOYOTA","YARIS","OTOMATIS","BENSIN",58000,"JAKARTA TIMUR",1.875e+11
2005,"TOYOTA","AVANZA","MANUAL","BENSIN",230000,"JAKARTA TIMUR",7.5e+10
2015,"TOYOTA","RUSH","OTOMATIS","BENSIN",84000,"JAKARTA TIMUR",1.475e+11
2018,"TOYOTA","AVANZA","MANUAL","BENSIN",23250,"TANGERANG",1.33e+11
2012,"MITSUBISHI","PAJERO","OTOMATIS","SOLAR",78000,"TANGERANG",2.29e+11
2018,"TOYOTA","AVANZA","MANUAL","BENSIN",22000,"TANGERANG",1.33e+11
2018,"DAIHATSU","XENIA","MANUAL","BENSIN",13000,"TANGERANG",1.36e+11
2017,"HONDA","MOBILIO","OTOMATIS","BENSIN",42000,"TANGERANG",1.53e+11
2015,"TOYOTA","AVANZA","MANUAL","BENSIN",67000,"TANGERANG",1.33e+11
2016,"DAIHATSU","XENIA","MANUAL","BENSIN",54000,"TANGERANG",1.19e+11
2016,"DAIHATSU","XENIA","MANUAL","BENSIN",54000,"TANGERANG",1.19e+11
