"volume","chapter","japanese_title","romanized_title","viz_title","pages","release_date","anime"
"1",1,"ROMANCE DAWN - 冒険の夜明け","Romansu Dōn - Bōken no Yoake","Romance Dawn",53,1997-07-19,"We Are! (p. 1)Episode of Luffy (p. 4-47)Episode 4 (p. 6-47)Episode 504 (p. 48-53)"
"1",2,"その男""麦わらのルフィ""","Sono Otoko ""Mugiwara no Rufi""","They Call Him ""Straw Hat Luffy""",23,1997-07-28,"Episode 1 (p. 4-23)Episode of Luffy (p. 4, 8, 9-10, 13-22)"
"1",3,"”海賊狩りのゾロ""登場","""Kaizoku-gari no Zoro"" Tōjō","Enter Zolo: Pirate Hunter",21,1997-08-04,"Episode 2 (p. 1, 3-21)"
"1",4,"海軍大佐”斧手のモーガン”","Kaigun Taisa ""Onote no Mōgan""","The Great Captain Morgan",19,1997-08-11,"Episode 2 (p. 1-19)"
"1",5,"海賊王と大剣豪","Kaizoku-Ō to Daikengō","The King of the Pirates and the Master Swordsman",19,1997-08-25,"Episode 2 (p. 2-8, 16-19)Episode 19 (p. 9-15)Episode 3 (p. 19)"
"1",6,"1人目","Hitorime","Number One",23,1997-09-01,"Episode 3 (p. 1-23)"
"1",7,"友達","Tomodachi","Friends",20,1997-09-08,"Episode 3 (p. 2-20)"
"1",8,"ナミ登場","Nami Tōjō","Nami",19,1997-09-15,"Episode 4 (p. 2-16)Episode 5 (p. 17-19)"
"2",9,"魔性の女","Mashō no Onna","Femme Fatale",21,1997-09-22,"Episode 5 (p. 2-21)"
"2",10,"酒場の一件","Sakaba no Ikken","Incident at the Tavern",23,1997-09-29,"Episode 5 (p. 2-23)"
"2",11,"敗走","Haisō","Flight",19,1997-10-06,"Episode 5 (p. 2-14)Episode 6 (p. 15-19)"
"2",12,"犬","Inu","Dog",21,1997-10-13,"Episode 6 (p. 3-21)"
"2",13,"宝物","Takaramono","Treasure",19,1997-10-20,"Episode 6 (p. 2-19)"
"2",14,"無謀っ!!","Mubō!!","Reckless",19,1997-10-27,"Episode 6 (p. 2-19)"
"2",15,"GONG","Gongu","Gong",19,1997-11-03,"Episode 6 (p. 2-10)Episode 7 (p. 11-19)"
"2",16,"VERSUS!!バギー海賊団","Bāsasu!! Bagī Kaizokudan","Versus Buggy's Crew",17,1997-11-10,"Episode 7 (p. 2-17)"
"2",17,"格","Kaku","High Level, Low Level",20,1997-11-17,"Episode 7 (p. 2-20)"
"3",18,"海賊”道化のバギー”","Kaizoku ""Dōke no Bagī""","The Pirate Buggy the Clown",19,1997-11-24,"Episode 7 (p. 2-19)"
"3",19,"悪魔の実","Akuma no Mi","Devil Fruit",19,1997-12-01,"Episode 8 (p. 2-19)"
"3",20,"泥棒道","Dorobōdō","The Way of the Thief",19,1997-12-08,"Episode 8 (p. 2-19)"
"3",21,"町","Machi","Townies",19,1997-12-22,"Episode 8 (p. 2-19)"
"3",22,"あんたが珍獣","Anta ga Chinjū","Strange Creatures",29,1998-01-05,"Episode 18 (p. 2-29)"
"3",23,"キャプテン･ウソップ登場","Kyaputen Usoppu Tōjō","The Dread Captain Usopp",19,1998-01-12,"Episode 9 (p. 2-19)"
"3",24,"偽れぬもの","Itsuwarenu Mono","The Lie Rejecter",19,1998-01-19,"Episode 9 (p. 2-14)Episode 10 (p. 15-19)"
"3",25,"ウソ800","Uso 800","Lies",19,1998-01-26,"Episode 10 (p. 2-19)"
"3",26,"キャプテン･クロの一計","Kyaputen Kuro no Ikkei","Captain Kuro's Plan",19,1998-02-02,"Episode 10 (p. 2-14)Episode 11 (p. 15-19)"
"4",27,"筋","Suji","True Lies",21,1998-02-09,"Episode 11 (p. 2-21)"
"4",28,"三日月","Mikazuki","Crescent Moon",19,1998-02-16,"Episode 12 (p. 1, 4-19)"
"4",29,"坂道","Sakamichi","Uphill Battle",21,1998-02-23,"Episode 12 (p. 2-21)"
"4",30,"GREAT!!!","Gureito!!!","Backfire",19,1998-03-02,"Episode 12 (p. 3)Episode 13 (p. 4-19)"
"4",31,"真実","Shinjitsu","Truth",19,1998-03-09,"Episode 13 (p. 2-19)"
"4",32,"大凶","Daikyō","Cruel Fortune",19,1998-03-16,"Episode 13 (p. 2-19)"
"4",33,"音無き男","Otonaki Otoko","The Creeping Cat",19,1998-03-23,"Episode 14 (p. 2-19)"
"4",34,"執事クラハドール","Shitsuji Kurahadōru","A Humble Servant",19,1998-03-30,"Episode 14 (p. 2-19)"
"4",35,"ネオ坂道","Neo Sakamichi","The Steep Slope",19,1998-04-06,"Episode 46 (p. 1)Episode 15 (p. 2-19)"
"5",36,"追え!!","Oe!!","After Them!!",21,1998-04-13,"Episode 47 (p. 1)Episode 15 (p. 2-21)"
