"year","manufacturer","type","gearshift","fuel","distance","city","price"
2013,"Daihatsu","Xenia All New X M/T","Manual","Bensin",97000,"Kota Jakarta Timur",98
2015,"Daihatsu","Xenia Great New X M/T","Manual","Bensin",110000,"Kota Jakarta Timur",112.5
2017,"Daihatsu","Sigra 1.2 R AT","Otomatis","Bensin",31167,"Mangga Dua Plaza",105
2016,"Toyota","Calya","Manual","Bensin",17000,"Kota Jakarta Timur",97.5
2012,"Suzuki","Splash 1.2 GL M/T","Manual","Bensin",1e+05,"Kota Jakarta Timur",75
2012,"Toyota","Vios G M/T","Manual","Bensin",1e+05,"Kota Jakarta Timur",100
2015,"Daihatsu","Ayla M M/T","Manual","Bensin",20000,"Kota Jakarta Timur",70
2018,"Suzuki","Ertiga GX M/T","Manual","Bensin",17000,"Kota Jakarta Timur",147.5
2016,"Daihatsu","Xenia Great New X M/T","Manual","Bensin",55000,"Kota Jakarta Timur",120
2013,"Daihatsu","Terios TX M/T","Manual","Bensin",150000,"Kota Jakarta Timur",125
2016,"Toyota","Avanza Grand New G M/T","Manual","Bensin",55000,"Kota Jakarta Timur",145
2013,"Toyota","Kijang Innova 2.5G A/T","Otomatis","Solar",170000,"Kota Jakarta Timur",190
2015,"Toyota","Yaris S TRD Sportivo","Otomatis","Bensin",87000,"Mangga Dua Plaza",160
2016,"Toyota","Avanza Grand New E A/T","Otomatis","Bensin",40000,"Kota Jakarta Timur",125
2012,"Daihatsu","Xenia All New R Sporty M/T","Manual","Bensin",105000,"Kota Jakarta Timur",102.5
2015,"Daihatsu","Xenia Great New X M/T","Manual","Bensin",1e+05,"Kota Jakarta Timur",112.5
2011,"Kia","Picanto SE 1.1 L","Manual","Bensin",23489,"Mangga Dua Plaza",75
2017,"Toyota","Calya 1.2 G A/T","Otomatis","Bensin",20000,"Malang",118
2014,"Honda","Brio Satya E","Manual","Bensin",27000,"Mangga Dua Plaza",98
2014,"Toyota","Avanza All New G M/T","Manual","Bensin",69000,"Malang",128
2014,"Daihatsu","Ayla X Elegant M/T","Manual","Bensin",78000,"Malang",82
2011,"Honda","CR-V 2.4 A/T","Otomatis","Bensin",95000,"Kota Jakarta Timur",155
2010,"Honda","Freed E PSD A/T","Otomatis","Bensin",86000,"Kota Jakarta Timur",120
2012,"Daihatsu","Xenia All New R Sporty M/T","Manual","Bensin",105000,"Kota Jakarta Timur",102.5
2003,"Daihatsu","Taruna 1.6 CX","Manual","Bensin",1,"Malang",65
2017,"Honda","Brio Satya S M/T","Manual","Bensin",37000,"Kota Jakarta Timur",107.5
2015,"Mitsubishi","Mirage 1.2 L GLS A/T","Otomatis","Bensin",1e+05,"Kota Jakarta Timur",100
2016,"Honda","HR-V E CVT","Otomatis","Bensin",60000,"Malang",230
2017,"Daihatsu","Sigra 1.2 R Deluxe A/T","Otomatis","Bensin",30000,"Kota Jakarta Timur",110
2008,"Toyota","Yaris E A/T","Otomatis","Bensin",80000,"Kota Jakarta Timur",90
2018,"2018","Toyota Calya G Matic. Promo","Otomatis","Bensin",11100,"Tangerang",111
2009,"Mercedes-Benz","C280 Elegance A/T","Otomatis","Bensin",48000,"Surabaya",210
2017,"Toyota","Calya G matic Dp Promo","Otomatis","Bensin",19122,"Tangerang",108
2016,"Daihatsu","Xenia X Manual. Dp Promo","Manual","Bensin",54123,"Tangerang",119
2015,"Toyota","Avanza G Manual. Dp Promo","Manual","Bensin",67750,"Tangerang",133
2013,"Lexus","RX 270","Otomatis","Bensin",49000,"Surabaya",465
2017,"Honda","BR-V E Prestige. Dp Promo","Otomatis","Bensin",41000,"Tangerang",173
2017,"Honda","Mobilio E Matic","Otomatis","Bensin",42356,"Tangerang",153
2013,"Mercedes-Benz","C200 1.8 CGI A/T","Otomatis","Bensin",37000,"Surabaya",298
2015,"Toyota","Corolla Altis G Manual. Velg...","Manual","Bensin",57000,"Tangerang",189
2018,"Toyota","Kijang Innova All New Reborn...","Otomatis","Solar",11000,"Surabaya",320
2012,"Mitsubishi","Pajero Sport Exceed","Otomatis","Solar",78125,"Tangerang",229
