"year","manufacturer","type","gearshift","fuel","distance","city","price"
2016,"Yamaha","NMax","Otomatis","Bensin",37000,"Bekasi",19.5
2014,"Honda","Motorcycles Beat","Otomatis","Bensin",1,"Bekasi",11
2014,"Yamaha","V-ixion","Manual","Bensin",42,"Bekasi",15
2012,"Harley-Davidson","FL Dyna Switchback","Otomatis","Bensin",7000,"Yogyakarta",400
2018,"Yamaha","Lexi","Otomatis","Bensin",18000,"Indonesia",15
2013,"Yamaha","V-ixion","Manual","Bensin",41000,"Indonesia",12
2014,"Honda","Motorcycles Beat Fi","Otomatis","Bensin",1,"Indonesia",10.5
2016,"Yamaha","Nmax","Otomatis","Bensin",1,"Indonesia",24
2016,"Yamaha","Mio M3","Otomatis","Bensin",1,"Indonesia",10.5
2012,"Yamaha","Fino","Otomatis","Bensin",1,"Indonesia",11
2015,"Honda","Motorcycles Cb 150R","Manual","Bensin",1,"Indonesia",15.9
2015,"Honda","Motorcycles Vario","Otomatis","Bensin",1,"Indonesia",11.45
2011,"Kawasaki","Ninja 250","Manual","Bensin",1,"Indonesia",28
2011,"Honda","Motorcycles Scoopy","Otomatis","Bensin",1,"Indonesia",8.9
2006,"Honda","Motorcycles Vario","Otomatis","Bensin",1,"Indonesia",7
2014,"Honda","Motorcycles Supra X","Manual","Bensin",1,"Indonesia",9.45
2011,"Honda","Motorcycles Cb 250","Manual","Bensin",1,"Indonesia",19
2017,"Yamaha","Aerox","Otomatis","Bensin",1,"Indonesia",20.5
2018,"Honda","Motorcycles Beat Street","Otomatis","Bensin",1,"Indonesia",15
2018,"Honda","Motorcycles Supra X","Manual","Bensin",1,"Indonesia",13
2009,"Honda","Motorcycles Vario","Otomatis","Bensin",1,"Indonesia",7
2012,"Yamaha","V-Ixion","Manual","Bensin",1,"Indonesia",11.5
2018,"Honda","Motorcycles Beat","Otomatis","Bensin",1,"Indonesia",13.9
2015,"Yamaha","V-Ixion","Manual","Bensin",1,"Indonesia",15.9
2013,"Honda","Motorcycles Vario","Otomatis","Bensin",1,"Indonesia",8.7
2015,"Honda","Motorcycles Cb 150R","Manual","Bensin",1,"Indonesia",16.2
2013,"Yamaha","Mio Gt","Otomatis","Bensin",1,"Indonesia",7.8
2017,"Honda","Motorcycles Vario Techno Fi","Otomatis","Bensin",1,"Indonesia",16
2015,"Yamaha","Nmax","Otomatis","Bensin",1,"Indonesia",22
2019,"Honda","Motorcycles Vario Techno Fi","Otomatis","Bensin",1,"Indonesia",20
2018,"Yamaha","Mio M3","Otomatis","Bensin",1,"Indonesia",11
2013,"Yamaha","Byson","Manual","Bensin",1,"Indonesia",8.7
2013,"Kawasaki","Klx 150","Manual","Bensin",1,"Indonesia",18.8
1998,"Yamaha","Crypton","Manual","Bensin",1,"Indonesia",4.3
2018,"Honda","Motorcycles Scoopy","Otomatis","Bensin",1,"Indonesia",18.2
2011,"Honda","Motorcycles Mega Pro","Manual","Bensin",1,"Indonesia",11
2018,"Honda","Motorcycles Cb 150R","Manual","Bensin",1,"Indonesia",25
2017,"Yamaha","Nmax","Otomatis","Bensin",1,"Indonesia",25.5
2017,"Honda","Motorcycles Scoopy","Otomatis","Bensin",1,"Indonesia",16.8
2017,"Yamaha","Yzf R15","Manual","Bensin",1,"Indonesia",25.3
2018,"Yamaha","Lexi","Otomatis","Bensin",1,"Indonesia",20
2013,"Honda","Motorcycles Vario Techno Fi","Otomatis","Bensin",1,"Indonesia",11
2018,"Yamaha","Mio S","Otomatis","Bensin",1,"Indonesia",12.5
2010,"Yamaha","Jupiter Mx","Manual","Bensin",1,"Indonesia",6.8
2017,"Yamaha","Fino","Otomatis","Bensin",1,"Indonesia",11
2018,"Honda","Motorcycles Cb 150R","Manual","Bensin",1,"Indonesia",25.5
2010,"Yamaha","V-Ixion","Manual","Bensin",1,"Indonesia",10.3
2018,"Honda","Motorcycles Vario Techno 150","Otomatis","Bensin",1,"Indonesia",17.6
2018,"Yamaha","Lexi","Otomatis","Bensin",1,"Indonesia",18.6
2018,"Honda","Motorcycles Scoopy Esp","Otomatis","Bensin",1,"Indonesia",18
2015,"Yamaha","Byson","Manual","Bensin",1,"Indonesia",12.5
2013,"Honda","Motorcycles Vario","Otomatis","Bensin",1,"Indonesia",9
2012,"Honda","Motorcycles Vario","Otomatis","Bensin",1,"Indonesia",8.3
2018,"Yamaha","Nmax","Otomatis","Bensin",1,"Indonesia",28.7
2014,"Kawasaki","Klx 150","Manual","Bensin",1,"Indonesia",20.5
2015,"Yamaha","V-Ixion","Manual","Bensin",1,"Indonesia",15.5
2008,"Yamaha","V-Ixion","Manual","Bensin",1,"Indonesia",12.2
2003,"Kawasaki","Klx 150","Manual","Bensin",1,"Indonesia",12
2018,"Suzuki","Gsx S 150","Manual","Bensin",1,"Indonesia",15.75
2002,"Yamaha","Rx King","Manual","Bensin",1,"Indonesia",7.6
2011,"Yamaha","Vega R","Manual","Bensin",1,"Indonesia",6.2
2014,"Honda","Motorcycles Cb 150R","Manual","Bensin",1,"Indonesia",12.5
2017,"Honda","Motorcycles Vario Techno Fi","Otomatis","Bensin",1,"Indonesia",15.5
2018,"Honda","Motorcycles Vario Techno Fi","Otomatis","Bensin",1,"Indonesia",17.8
2017,"Yamaha","Aerox 155","Otomatis","Bensin",1,"Indonesia",18.1
2017,"Honda","Motorcycles Blade 125","Manual","Bensin",1,"Indonesia",11.5
2010,"Kawasaki","Ninja 250","Manual","Bensin",1,"Indonesia",28.5
2014,"Honda","Motorcycles Supra X","Manual","Bensin",1,"Indonesia",9.3
2017,"Yamaha","X-Ride","Otomatis","Bensin",1,"Indonesia",10.9
2009,"Kawasaki","Ninja 250","Manual","Bensin",1,"Indonesia",24
2018,"Yamaha","Mio S","Otomatis","Bensin",1,"Indonesia",9.9
2018,"Yamaha","Mio M3","Otomatis","Bensin",1,"Indonesia",10.2
2019,"Honda","Motorcycles Supra Gtr","Manual","Bensin",1,"Indonesia",16.8
2019,"Honda","Motorcycles Pcx","Otomatis","Bensin",1,"Indonesia",27.5
2013,"Yamaha","V-Ixion","Manual","Bensin",1,"Indonesia",14.15
2019,"Honda","Motorcycles Vario Techno Fi","Otomatis","Bensin",1,"Indonesia",18.75
2019,"Honda","Motorcycles Sonic","Manual","Bensin",1,"Indonesia",17.3
2017,"Honda","Motorcycles Supra Gtr","Manual","Bensin",1,"Indonesia",14.5
2016,"Yamaha","Yzf R25","Manual","Bensin",1,"Indonesia",33.2
2014,"Yamaha","V-Ixion","Manual","Bensin",1,"Indonesia",12.8
2006,"Honda","Motorcycles Supra X","Manual","Bensin",1,"Indonesia",6.9
2018,"Honda","Motorcycles Cbr 150R","Manual","Bensin",1,"Indonesia",26.5
2014,"Honda","Motorcycles Cb 150R","Manual","Bensin",1,"Indonesia",14.8
2008,"Kawasaki","Ninja 250","Manual","Bensin",1,"Indonesia",24
2017,"Yamaha","X-Ride Led","Otomatis","Bensin",1,"Indonesia",11.5
2015,"Yamaha","Vega R","Manual","Bensin",1,"Indonesia",7.5
2013,"Kawasaki","Ninja 250","Manual","Bensin",1,"Indonesia",43
2011,"Honda","Motorcycles Mega Pro","Manual","Bensin",50000,"Indonesia",5
2017,"Yamaha","X-MAX","Otomatis","Bensin",14000,"Kota Jakarta Barat",48
2016,"Kawasaki","Ninja","Manual","Bensin",4665,"Indonesia",45
2013,"Kawasaki","Ninja","Manual","Bensin",23000,"Indonesia",36
2011,"Kawasaki","Ninja","Manual","Bensin",20000,"Indonesia",18
2014,"Yamaha","YZF R25","Manual","Bensin",13900,"Indonesia",35
2012,"Honda","Motorcycles Vario Techno","Manual","Bensin",418318,"Indonesia",8.8
2017,"Honda","Motorcycles CBR cbr150r","Manual","Bensin",5000,"Indonesia",23
2014,"Yamaha","YZF R25","Manual","Bensin",14000,"Indonesia",35
2013,"Kawasaki","Ninja","Manual","Bensin",7500,"Kota Jakarta Selatan",36
2015,"Harley-Davidson","Touring","Manual","Bensin",4400,"Indonesia",700
2016,"Yamaha","Soul GT 125","Otomatis","Bensin",22000,"Indonesia",3
2018,"Kawasaki","Z 250","Manual","Bensin",15000,"Bekasi",48.5
2014,"Honda","Motorcycles Verza","Manual","Bensin",55000,"Indonesia",10
2017,"Honda","Motorcycles Beat","Otomatis","Bensin",85137,"Indonesia",7.1
2007,"Yamaha","Vega R","Manual","Bensin",1e+05,"Tangerang Selatan",3.7
